,title,SponsorLevel,discovertotems_link,category,GPS_in_degrees_pair,discovertotems landing page url,GPS_in_scientific_pair,GPS_in_scientific_longitude,GPS_in_scientific_latitude,carvers,description,related_link,picture_link,geocache_link,pubdate,event start date,event end date
,Duncan - Human above Killer Whale above Indian Chief holding Copper,None,http://www.discovertotems.com/content/human-above-killer-whale-above-indian-chief-holding-copper,Totem Pole,,,,,,Francis Horne,"Duncan's ""Human above Killer Whale above Indian Chief holding Copper "" is one of 80 totems located around Duncan and is part of the daily guided tours offered from May to Sept.  Self-guided tours are also encouraged with the effective placement of yellow footprints to guide you from one totem to another.  This totem was created in 1986 and sponsored by BC Forest Products - Renfrew Logging Division",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Human%20above%20killer%20whale%20above%20chief%20holding%20copper.JPG,,7/13/2010,,
,Duncan - Moon with Human Spirit Face above Mountain Goat above Bear holding Official Document,None,http://www.discovertotems.com/content/moon-human-spirit-face-above-mountain-goat-above-bear-holding-official-document,Totem Pole,,,,,,Simon Charlie,"With more than 80 totems scattered throughout the city, Duncan, British Columbia is deservedly called “The City of Totems”. Between May and September, visitors and locals alike can take the City of Duncan’s free guided walking tour sponsored by the Duncan Business Improvement Area Society. In about an hour, the tour guide gives a brief introduction to First Nations Heritage and some details about the art of carving these magnificent poles.",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/moon%20with%20human%20face%20above%20goat%20above%20bear%20holding%20doc.jpg,,7/27/2010,,
,Duncan - Owl above Bear holding Human,None,http://www.discovertotems.com/content/owl-above-bear-holding-human,Totem Pole,,,,,,Francis Horne,"With more than 80 totems scattered throughout the city, Duncan, British Columbia is deservedly called “The City of Totems”. Between May and September, visitors and locals alike can take the City of Duncan’s free guided walking tour sponsored by the Duncan Business Improvement Area Society. In about an hour, the tour guide gives a brief introduction to First Nations Heritage and some details about the art of carving these magnificent poles.",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Owl%20above%20bear%20holding%20human.jpg,,7/27/2010,,
,Duncan - Raven above Sea Serpent with Wolf and Macquinna Mask,None,http://www.discovertotems.com/content/raven-above-sea-serpent-wolf-and-macquinna-mask,Totem Pole,,,,,,Norman John,"Duncan's ""Raven above Sea Serpent with Wolf and Macquinna Mask "" is one of 80 totems located around Duncan and is part of the daily guided tours offered from May to Sept.  Self-guided tours are also encouraged with the effective placement of yellow footprints to guide you from one totem to another.  This totem was created in 1988",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Raven%20above%20Sea%20Serpent%20with%20wolf%20and%20macquinna%20mask.JPG,,7/27/2010,,
,Duncan - Three Whales with Seal,None,http://www.discovertotems.com/content/three-whales-seal,Totem Pole,,,,,,David Marsten,"Guided and self-guided tours are encouraged, with over 80 totems located throughout the city of Duncan there is plenty to see.  Use the link below for more information on the tours and totem locations.",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Three%20Whales%20above%20Seal.jpg,,7/27/2010,,
,Duncan - Tsonoqua: Mythological Wild Woman of the Woods,None,http://www.discovertotems.com/content/tsonoqua-mythological-wild-woman-woods,Totem Pole,,,,,,Oscar Matiln,"Duncan's ""Tsonoqua - Mythological Wild Woman of the Woods "" is one of 80 totems located around Duncan and is part of the daily guided tours offered from May to Sept.  Self-guided tours are also encouraged with the effective placement of yellow footprints to guide you from one totem to another.  This totem was created in 1989",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Mythical%20wild%20woman.JPG,,7/27/2010,,
,Duncan - North Wind Spirit above Killer Whale,None,http://www.discovertotems.com/content/north-wind-spirit-above-killer-whale,Totem Pole,,,,,,Tom Lafortune,"Guided and self-guided tours are encouraged, with over 80 totems located throughout the city of Duncan there is plenty to see.  Use the link below for more information on the tours and totem locations.",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/North%20Wind%20Spirit%20above%20Killer%20Whale.jpg,,7/27/2010,,
,Duncan - Raven above Beaver,None,http://www.discovertotems.com/content/raven-above-beaver,Totem Pole,,,,,,Harold Joe,"Guided and self-guided tours are encouraged, with over 80 totems located throughout the city of Duncan there is plenty to see.  Use the link below for more information on the tours and totem locations.",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Raven%20above%20Beaver.jpg,,7/27/2010,,
,Duncan - Tain Hiira Pou Karanga,None,http://www.discovertotems.com/content/tain-hiira-pou-karanga,Totem Pole,,,,,,Tupari Tuwhata (Maori) Kaikohe New Zealand,"Duncan's ""Tain Hiira Pou Karanga - The welcoming spirit of sound above Tain Hiira the king of the cedar forest"" is one of 80 totems located around Duncan and is part of the daily guided tours offered from May to Sept.  Self-guided tours are also encouraged with the effective placement of yellow footprints to guide you from one totem to another.  This totem is part of the 'island 86 carvers' exchange program with the borough council of Kaikohe New Zealand, completed in 1986.",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/tane%20hiira%20pou%20karanga.JPG,,7/27/2010,,
,Duncan - Thunderbird above Killer Whale,None,http://www.discovertotems.com/content/thunderbird-above-killer-whale,Totem Pole,,,,,,Harold Alfred,"With more than 80 totems scattered throughout the city, Duncan, British Columbia is deservedly called “The City of Totems”. Between May and September, visitors and locals alike can take the City of Duncan’s free guided walking tour sponsored by the Duncan Business Improvement Area Society. In about an hour, the tour guide gives a brief introduction to First Nations Heritage and some details about the art of carving these magnificent poles.",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Thunderbird%20above%20Killer%20Whale.jpg,,7/27/2010,,
,Fall City - Totem #1,None,http://www.discovertotems.com/content/fall-city-totem-1,Totem Pole,"47 34'9""N, 121 53'38""W",,,,,Hugh H. Hinds,Located in Fall City the original totem stood 43 feet tall created by local artist Hugh H. Hinds who was influenced by the legends and carvings of the Haida tribe. In 1964 the pole was blown down in a severe storm due to rot found at the bottom of the pole. After extensive repair the pole was reserected again until 1981 when further rot was discovered. The pole was taken down a second time. In 1982 Herman Williams of the Tulalip tribe was commissioned to carve a replacement pole following the original story. This pole was erected in the same location and stood 30 feet tall. In 1997 a man named Richard Kirby took on the project of fully restoring the originally pole and with the help of many community members the original pole was put back in it's rightful place where it stands today.,,http://www.discovertotems.com/sites/discovertotems.com/files/images/IMG_9006enhcdsm.JPG,,7/29/2010,,
,Fall City - Totem #2,None,http://www.discovertotems.com/content/fall-city-totem-2,Totem Pole,"47 38'52""N 121 54'51""W",,,,,unknown,Very little is known of this totem,,http://www.discovertotems.com/sites/discovertotems.com/files/images/pole%202%20sized.JPG,,7/29/2010,,
,Portland Concrete Totem,None,http://www.discovertotems.com/content/portland-concrete-totem,Totem Pole,"45 33'33""N 122 39'2""W",,,,,Roslyn Hill and Lillian Pitt,This collaboration between Native American and Native African American artists represents the work of two distinctly different artists.  The non-traditional totem is located in Portland Oregon near NE Alberta St and NE 14th.,http://www.lillianpitt.com/,http://www.discovertotems.com/sites/discovertotems.com/files/images/portland%20concrete%20totem.JPG,,7/29/2010,,
,Seattle Killer Whale,None,http://www.discovertotems.com/content/seattle-killer-whale,Totem Pole,,,,,,Duane Pasco,One of three totems created by Duane Pasco located in Occidental_Park near Pioneer Square in Seattle Washington,http://en.wikipedia.org/wiki/Duane_Pasco,http://www.discovertotems.com/sites/discovertotems.com/files/images/killer%20whale.JPG,,7/29/2010,,
,Seattle Sun and Raven,None,http://www.discovertotems.com/content/seattle-sun-and-raven,Totem Pole,,,,,,Duane Pasco,One of three totems created by Duane Pasco located in Occidental_Park near Pioneer Square in Seattle Washington,http://en.wikipedia.org/wiki/Duane_Pasco,http://www.discovertotems.com/sites/discovertotems.com/files/images/sun%20and%20raven.JPG,,7/29/2010,,
,Seattle Tsunqua,None,http://www.discovertotems.com/content/seattle-tsunqua,Totem Pole,,,,,,Duane Pasco,One of three totems created by Duane Pasco located in Occidental_Park near Pioneer Square in Seattle Washington,http://en.wikipedia.org/wiki/Duane_Pasco,http://www.discovertotems.com/sites/discovertotems.com/files/images/tsunqua.JPG,,7/29/2010,,
